gameID,matchID,winner_ID,defeated_ID,Winner_Score_Cn,Defeated_Score_Cn,Winner_Score_My,Defeated_Score_My,Winner_Score_Total,Defeated_Score_Total
"1968-05-27-Roland Garros-Ken Rosewall-Rod Laver",0,1,10,7.5,9,2,2,9.5,11
"1969-05-28-Roland Garros-Rod Laver-Ken Rosewall",1,10,1,9,7.5,2,2,11,9.5
"1970-05-01-Roland Garros-Jan Kodes-Zeljko Franulovic",2,51,68,4.5,4.5,2,2,6.5,6.5
"1971-05-21-Roland Garros-Jan Kodes-Ilie Nastase",3,51,56,4.5,6,2,2,6.5,8
"1972-05-22-Roland Garros-Andres Gimeno-Patrick Proisy",4,7,82,6,9,2,2,8,11
"1973-05-21-Roland Garros-Ilie Nastase-Nikola Pilic",5,56,15,7.5,9,2,2,9.5,11
"1974-06-03-Roland Garros-Bjorn Borg-Manuel Orantes",6,152,76,6,6,2,2,8,8
"1975-06-04-Roland Garros-Bjorn Borg-Guillermo Vilas",7,152,111,9,9,2,2,11,11
"1976-05-31-Roland Garros-Adriano Panatta-Harold Solomon",8,88,114,9,9,2,2,11,11
"1977-05-23-Roland Garros-Guillermo Vilas-Brian Gottfried",9,111,105,9,9,2,2,11,11
"1978-05-29-Roland Garros-Bjorn Borg-Guillermo Vilas",10,152,111,9,9,2,2,11,11
"1979-05-28-Roland Garros-Bjorn Borg-Victor Pecci",11,152,142,9,9,2,2,11,11
"1980-05-26-Roland Garros-Bjorn Borg-Vitas Gerulaitis",12,152,127,6,6,2,2,8,8
"1981-05-25-Roland Garros-Bjorn Borg-Ivan Lendl",13,152,200,9,9,2,2,11,11
"1982-05-24-Roland Garros-Mats Wilander-Guillermo Vilas",14,259,111,7.5,7.5,2,2,9.5,9.5
"1983-05-23-Roland Garros-Yannick Noah-Mats Wilander",15,202,259,4.5,4.5,2,2,6.5,6.5
"1984-05-28-Roland Garros-Ivan Lendl-John McEnroe",16,200,185,6,6,2,2,8,8
"1985-05-27-Roland Garros-Mats Wilander-Ivan Lendl",17,259,200,9,9,2,2,11,11
"1986-05-26-Roland Garros-Ivan Lendl-Mikael Pernfors",18,200,239,9,9,2,2,11,11
"1987-05-25-Roland Garros-Ivan Lendl-Mats Wilander",19,200,259,6,6,2,2,8,8
"1988-05-23-Roland Garros-Mats Wilander-Henri Leconte",20,259,237,9,9,2,2,11,11
"1989-05-29-Roland Garros-Michael Chang-Stefan Edberg",21,382,284,9,9,2,2,11,11
"1990-05-28-Roland Garros-Andres Gomez-Andre Agassi",22,198,355,9,7.5,2,2,11,9.5
"1991-05-27-Roland Garros-Jim Courier-Andre Agassi",23,362,355,7.5,7.5,2,2,9.5,9.5
"1992-05-25-Roland Garros-Jim Courier-Petr Korda",24,362,316,7.5,9,2,2,9.5,11
"1993-05-24-Roland Garros-Sergi Bruguera-Jim Courier",25,367,362,7.5,7.5,2,2,9.5,9.5
"1994-05-23-Roland Garros-Sergi Bruguera-Alberto Berasategui",26,367,402,6,7.5,2,2,8,9.5
"1995-05-29-Roland Garros-Thomas Muster-Michael Chang",27,310,382,6,7.5,2,2,8,9.5
"1996-05-27-Roland Garros-Yevgeny Kafelnikov-Michael Stich",28,409,330,9,9,2,2,11,11
"1997-05-26-Roland Garros-Gustavo Kuerten-Sergi Bruguera",29,443,367,9,7.5,2,2,11,9.5
"1998-05-25-Roland Garros-Carlos Moya-Alex Corretja",30,441,413,6,9,2,2,8,11
"1999-05-24-Roland Garros-Andre Agassi-Andrei Medvedev",31,355,417,7.5,9,2,2,9.5,11
"2000-05-29-Roland Garros-Gustavo Kuerten-Magnus Norman",32,443,439,6,6,2,2,8,8
"2001-05-28-Roland Garros-Gustavo Kuerten-Alex Corretja",33,443,413,9,9,2,2,11,11
"2002-05-27-Roland Garros-Albert Costa-Juan Carlos Ferrero",34,429,485,9,9,2,2,11,11
"2003-05-26-Roland Garros-Juan Carlos Ferrero-Martin Verkerk",35,485,469,6,6,2,2,8,8
"2004-05-24-Roland Garros-Gaston Gaudio-Guillermo Coria",36,471,515,9,9,2,2,11,11
"2005-05-23-Roland Garros-Rafael Nadal-Mariano Puerta",37,558,468,9,9,2,2,11,11
"2006-05-29-Roland Garros-Rafael Nadal-Roger Federer",38,558,506,7.5,7.5,2,2,9.5,9.5
"2007-05-28-Roland Garros-Rafael Nadal-Roger Federer",39,558,506,4.5,4.5,2,2,6.5,6.5
"2008-05-25-Roland Garros-Rafael Nadal-Roger Federer",40,558,506,9,9,2,2,11,11
"2009-05-25-Roland Garros-Roger Federer-Robin Soderling",41,506,541,9,9,2,2,11,11
"2010-05-24-Roland Garros-Rafael Nadal-Robin Soderling",42,558,541,6,6,2,2,8,8
"2011-05-22-Roland Garros-Rafael Nadal-Roger Federer",43,558,506,9,9,2,2,11,11
"2012-05-27-Roland Garros-Rafael Nadal-Novak Djokovic",44,558,566,9,9,2,2,11,11
"2013-05-27-Roland Garros-Rafael Nadal-David Ferrer",45,558,517,9,7.5,2,2,11,9.5
"2014-05-26-Roland Garros-Rafael Nadal-Novak Djokovic",46,558,566,9,9,2,2,11,11
"2015-05-24-Roland Garros-Stan Wawrinka-Novak Djokovic",47,544,566,9,9,2,2,11,11
"2016-05-23-Roland Garros-Novak Djokovic-Andy Murray",48,566,564,9,9,2,2,11,11
"2017-05-29-Roland Garros-Rafael Nadal-Stan Wawrinka",49,558,544,9,9,0,2,9,11
"2018-05-28-Roland Garros-Rafael Nadal-Dominic Thiem",50,558,618,7.5,6,2,2,9.5,8
"2019-05-27-Roland Garros-Rafael Nadal-Dominic Thiem",51,558,618,7.5,6,2,2,9.5,8
"2020-09-28-Roland Garros-Rafael Nadal-Novak Djokovic",52,558,566,6,6,2,2,8,8
"2021-05-30-Roland Garros-Novak Djokovic-Stefanos Tsitsipas",53,566,658,9,9,2,2,11,11
"2022-05-22-Roland Garros-Rafael Nadal-Casper Ruud",54,558,660,6,6,2,2,8,8
"2023-05-28-Roland Garros-Novak Djokovic-Casper Ruud",55,566,660,6,6,2,2,8,8
